Reading problem outline... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
With scale 21
Unpickling rounded matrices
Reading problem file... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
Testing of rounded starts...
80000 / 110348 rounded to 0.07922638752127263  
80001 / 110348 rounded to 0.16210051058272304 	 min so far 0.07922638752127263
80002 / 110348 rounded to 0.09226124026606455 	 min so far 0.07922638752127263
80003 / 110348 rounded to 0.1647343309749704 	 min so far 0.07922638752127263
80004 / 110348 rounded to 0.07922645480241793 	 min so far 0.07922638752127263
80005 / 110348 rounded to 0.09967145285239971 	 min so far 0.07922638752127263
80006 / 110348 rounded to 0.10733920607446133 	 min so far 0.07922638752127263
80007 / 110348 rounded to 0.12599875980966338 	 min so far 0.07922638752127263
80008 / 110348 rounded to 0.08492772570959921 	 min so far 0.07922638752127263
80009 / 110348 rounded to 0.12316320223957511 	 min so far 0.07922638752127263
80010 / 110348 rounded to 0.1844383149700215 	 min so far 0.07922638752127263
80011 / 110348 rounded to 0.14450777500369977 	 min so far 0.07922638752127263
80012 / 110348 rounded to 0.11288145347684359 	 min so far 0.07922638752127263
80013 / 110348 rounded to 0.12392463235069025 	 min so far 0.07922638752127263
80014 / 110348 rounded to 0.07922638715706769 	 min so far 0.07922638752127263
80015 / 110348 rounded to 0.09252572761625867 	 min so far 0.07922638715706769
80016 / 110348 rounded to 0.0825908860711044 	 min so far 0.07922638715706769
80017 / 110348 rounded to 0.0857349805140061 	 min so far 0.07922638715706769
80018 / 110348 rounded to 0.07922640679470652 	 min so far 0.07922638715706769
80019 / 110348 rounded to 0.10243161055283367 	 min so far 0.07922638715706769
80020 / 110348 rounded to 0.09868802891202032 	 min so far 0.07922638715706769
80021 / 110348 rounded to 0.15546492783791455 	 min so far 0.07922638715706769
80022 / 110348 rounded to 0.10310758712497547 	 min so far 0.07922638715706769
80023 / 110348 rounded to 0.12945033766994296 	 min so far 0.07922638715706769
80024 / 110348 rounded to 0.079226388054705 	 min so far 0.07922638715706769
80025 / 110348 rounded to 0.09796061575326855 	 min so far 0.07922638715706769
80026 / 110348 rounded to 0.07985929593774957 	 min so far 0.07922638715706769
80027 / 110348 rounded to 0.1501238919704036 	 min so far 0.07922638715706769
80028 / 110348 rounded to 0.12920993995934998 	 min so far 0.07922638715706769
80029 / 110348 rounded to 0.18301286040157988 	 min so far 0.07922638715706769
80030 / 110348 rounded to 0.08159585438494263 	 min so far 0.07922638715706769
80031 / 110348 rounded to 0.13879281953410377 	 min so far 0.07922638715706769
80032 / 110348 rounded to 0.09446779810150023 	 min so far 0.07922638715706769
80033 / 110348 rounded to 0.1490535023184189 	 min so far 0.07922638715706769
80034 / 110348 rounded to 0.13213198297478934 	 min so far 0.07922638715706769
80035 / 110348 rounded to 0.1982323684305159 	 min so far 0.07922638715706769
80036 / 110348 rounded to 0.1917422517387528 	 min so far 0.07922638715706769
80037 / 110348 rounded to 0.10926166939893496 	 min so far 0.07922638715706769
80038 / 110348 rounded to 0.10737481800487234 	 min so far 0.07922638715706769
80039 / 110348 rounded to 0.08499047214389378 	 min so far 0.07922638715706769
80040 / 110348 rounded to 0.09103638512245565 	 min so far 0.07922638715706769
80041 / 110348 rounded to 0.12225765685420674 	 min so far 0.07922638715706769
80042 / 110348 rounded to 0.08861181996502598 	 min so far 0.07922638715706769
80043 / 110348 rounded to 0.1161844875933 	 min so far 0.07922638715706769
