Reading problem outline... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
With scale 21
Unpickling rounded matrices
Reading problem file... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
Testing of rounded starts...
60000 / 110348 rounded to 0.1767603858373092  
60001 / 110348 rounded to 0.11511936921761212 	 min so far 0.1767603858373092
60002 / 110348 rounded to 0.15525949314560406 	 min so far 0.11511936921761212
60003 / 110348 rounded to 0.08810889418569927 	 min so far 0.11511936921761212
60004 / 110348 rounded to 0.09964978916525508 	 min so far 0.08810889418569927
60005 / 110348 rounded to 0.13606001499084738 	 min so far 0.08810889418569927
60006 / 110348 rounded to 0.10981591590892636 	 min so far 0.08810889418569927
60007 / 110348 rounded to 0.13545240917701268 	 min so far 0.08810889418569927
60008 / 110348 rounded to 0.10568421056242003 	 min so far 0.08810889418569927
60009 / 110348 rounded to 0.12798913529223344 	 min so far 0.08810889418569927
60010 / 110348 rounded to 0.1221714305692942 	 min so far 0.08810889418569927
60011 / 110348 rounded to 0.11059976512434352 	 min so far 0.08810889418569927
60012 / 110348 rounded to 0.1291175174475731 	 min so far 0.08810889418569927
60013 / 110348 rounded to 0.1466080860206397 	 min so far 0.08810889418569927
60014 / 110348 rounded to 0.11437806256542184 	 min so far 0.08810889418569927
60015 / 110348 rounded to 0.11232018717462118 	 min so far 0.08810889418569927
60016 / 110348 rounded to 0.1653796003613673 	 min so far 0.08810889418569927
60017 / 110348 rounded to 0.11090345559616498 	 min so far 0.08810889418569927
60018 / 110348 rounded to 0.11344655831102164 	 min so far 0.08810889418569927
60019 / 110348 rounded to 0.1056198414298185 	 min so far 0.08810889418569927
60020 / 110348 rounded to 0.09882445971350691 	 min so far 0.08810889418569927
60021 / 110348 rounded to 0.12447506569112832 	 min so far 0.08810889418569927
60022 / 110348 rounded to 0.12311875044952773 	 min so far 0.08810889418569927
60023 / 110348 rounded to 0.09084590363063924 	 min so far 0.08810889418569927
60024 / 110348 rounded to 0.12366640782370988 	 min so far 0.08810889418569927
60025 / 110348 rounded to 0.08987272943577997 	 min so far 0.08810889418569927
60026 / 110348 rounded to 0.14430555884434323 	 min so far 0.08810889418569927
60027 / 110348 rounded to 0.08566101633536014 	 min so far 0.08810889418569927
60028 / 110348 rounded to 0.10648012440101538 	 min so far 0.08566101633536014
60029 / 110348 rounded to 0.10650452552174756 	 min so far 0.08566101633536014
60030 / 110348 rounded to 0.11344483055651963 	 min so far 0.08566101633536014
60031 / 110348 rounded to 0.10444824067761373 	 min so far 0.08566101633536014
60032 / 110348 rounded to 0.09949923580418041 	 min so far 0.08566101633536014
60033 / 110348 rounded to 0.11018449786352595 	 min so far 0.08566101633536014
60034 / 110348 rounded to 0.1204654570703167 	 min so far 0.08566101633536014
60035 / 110348 rounded to 0.09322374448591722 	 min so far 0.08566101633536014
60036 / 110348 rounded to 0.10700780131576511 	 min so far 0.08566101633536014
60037 / 110348 rounded to 0.13411081385034102 	 min so far 0.08566101633536014
