Reading problem outline... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
With scale 21
Unpickling rounded matrices
Reading problem file... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
Testing of rounded starts...
100084 / 110348 rounded to 0.09241906986699563 	 min so far 0.07922638753013052
100085 / 110348 rounded to 0.14131273758009866 	 min so far 0.07922638753013052
100086 / 110348 rounded to 0.08286729945617637 	 min so far 0.07922638753013052
100087 / 110348 rounded to 0.16782698682726124 	 min so far 0.07922638753013052
100088 / 110348 rounded to 0.16132396738428317 	 min so far 0.07922638753013052
100089 / 110348 rounded to 0.07922649723760584 	 min so far 0.07922638753013052
100090 / 110348 rounded to 0.08468780002943958 	 min so far 0.07922638753013052
100091 / 110348 rounded to 0.07922639483348057 	 min so far 0.07922638753013052
100092 / 110348 rounded to 0.12957905667270198 	 min so far 0.07922638753013052
100093 / 110348 rounded to 0.08842017801055814 	 min so far 0.07922638753013052
100094 / 110348 rounded to 0.1269488846920301 	 min so far 0.07922638753013052
100095 / 110348 rounded to 0.12773365557677885 	 min so far 0.07922638753013052
100096 / 110348 rounded to 0.23630999896956137 	 min so far 0.07922638753013052
100097 / 110348 rounded to 0.07922644367037308 	 min so far 0.07922638753013052
100098 / 110348 rounded to 0.09059937873155223 	 min so far 0.07922638753013052
100099 / 110348 rounded to 0.23099667900834034 	 min so far 0.07922638753013052
100100 / 110348 rounded to 0.11835219221354212 	 min so far 0.07922638753013052
100101 / 110348 rounded to 0.21389925106532476 	 min so far 0.07922638753013052
100102 / 110348 rounded to 0.23275021218287556 	 min so far 0.07922638753013052
100103 / 110348 rounded to 0.2502538664448431 	 min so far 0.07922638753013052
100104 / 110348 rounded to 0.07922641262750219 	 min so far 0.07922638753013052
100105 / 110348 rounded to 0.32760384982576723 	 min so far 0.07922638753013052
100106 / 110348 rounded to 0.18335522382030933 	 min so far 0.07922638753013052
100107 / 110348 rounded to 0.3029555501006773 	 min so far 0.07922638753013052
100108 / 110348 rounded to 0.2629241394041175 	 min so far 0.07922638753013052
100109 / 110348 rounded to 0.24668904390694268 	 min so far 0.07922638753013052
100110 / 110348 rounded to 0.17951088329670475 	 min so far 0.07922638753013052
100111 / 110348 rounded to 0.22588927355176844 	 min so far 0.07922638753013052
