Reading problem outline... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
With scale 21
Unpickling rounded matrices
Reading problem file... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
Testing of rounded starts...
20000 / 110348 rounded to 0.09083726818438598  
20001 / 110348 rounded to 0.09493482556780172 	 min so far 0.09083726818438598
20002 / 110348 rounded to 0.11122635528946785 	 min so far 0.09083726818438598
20003 / 110348 rounded to 0.10723469078101538 	 min so far 0.09083726818438598
20004 / 110348 rounded to 0.12366261984348924 	 min so far 0.09083726818438598
20005 / 110348 rounded to 0.18380244295940548 	 min so far 0.09083726818438598
20006 / 110348 rounded to 0.1297105751753913 	 min so far 0.09083726818438598
20007 / 110348 rounded to 0.0907578920196475 	 min so far 0.09083726818438598
20008 / 110348 rounded to 0.11374287367176279 	 min so far 0.0907578920196475
20009 / 110348 rounded to 0.11112800969141341 	 min so far 0.0907578920196475
20010 / 110348 rounded to 0.09493129199296138 	 min so far 0.0907578920196475
20011 / 110348 rounded to 0.10556045538618697 	 min so far 0.0907578920196475
20012 / 110348 rounded to 0.10923272643129782 	 min so far 0.0907578920196475
20013 / 110348 rounded to 0.11087442056263744 	 min so far 0.0907578920196475
20014 / 110348 rounded to 0.10768103838529781 	 min so far 0.0907578920196475
20015 / 110348 rounded to 0.1061814278287581 	 min so far 0.0907578920196475
20016 / 110348 rounded to 0.11456415389795768 	 min so far 0.0907578920196475
20017 / 110348 rounded to 0.09927999480693164 	 min so far 0.0907578920196475
20018 / 110348 rounded to 0.12173618642244403 	 min so far 0.0907578920196475
20019 / 110348 rounded to 0.11729964859903513 	 min so far 0.0907578920196475
20020 / 110348 rounded to 0.12956565323220345 	 min so far 0.0907578920196475
20021 / 110348 rounded to 0.11931210468965407 	 min so far 0.0907578920196475
20022 / 110348 rounded to 0.1189932320741783 	 min so far 0.0907578920196475
20023 / 110348 rounded to 0.08817671865524541 	 min so far 0.0907578920196475
20024 / 110348 rounded to 0.14334162893781546 	 min so far 0.08817671865524541
20025 / 110348 rounded to 0.12403494811728123 	 min so far 0.08817671865524541
20026 / 110348 rounded to 0.14904172380360242 	 min so far 0.08817671865524541
20027 / 110348 rounded to 0.1128887170910786 	 min so far 0.08817671865524541
20028 / 110348 rounded to 0.12075087729277917 	 min so far 0.08817671865524541
20029 / 110348 rounded to 0.14243149438136102 	 min so far 0.08817671865524541
20030 / 110348 rounded to 0.10594003397684301 	 min so far 0.08817671865524541
20031 / 110348 rounded to 0.11429975475778578 	 min so far 0.08817671865524541
20032 / 110348 rounded to 0.10683327944324146 	 min so far 0.08817671865524541
20033 / 110348 rounded to 0.11521242158541274 	 min so far 0.08817671865524541
20034 / 110348 rounded to 0.09694771323784454 	 min so far 0.08817671865524541
20035 / 110348 rounded to 0.12279813761132032 	 min so far 0.08817671865524541
20036 / 110348 rounded to 0.1061077185574242 	 min so far 0.08817671865524541
20037 / 110348 rounded to 0.11111264001700295 	 min so far 0.08817671865524541
20038 / 110348 rounded to 0.10553330306893177 	 min so far 0.08817671865524541
20039 / 110348 rounded to 0.10334033363236021 	 min so far 0.08817671865524541
20040 / 110348 rounded to 0.11648976776673765 	 min so far 0.08817671865524541
20041 / 110348 rounded to 0.1117909129893303 	 min so far 0.08817671865524541
20042 / 110348 rounded to 0.10331248935335736 	 min so far 0.08817671865524541
20043 / 110348 rounded to 0.11704501748332008 	 min so far 0.08817671865524541
20044 / 110348 rounded to 0.11209407802966584 	 min so far 0.08817671865524541
20045 / 110348 rounded to 0.10526498665905296 	 min so far 0.08817671865524541
20046 / 110348 rounded to 0.10533354403804725 	 min so far 0.08817671865524541
20047 / 110348 rounded to 0.1063145399173876 	 min so far 0.08817671865524541
20048 / 110348 rounded to 0.10372752614788486 	 min so far 0.08817671865524541
20049 / 110348 rounded to 0.12259740438186088 	 min so far 0.08817671865524541
20050 / 110348 rounded to 0.12143993138810008 	 min so far 0.08817671865524541
20051 / 110348 rounded to 0.09702384587770327 	 min so far 0.08817671865524541
20052 / 110348 rounded to 0.10083705029428909 	 min so far 0.08817671865524541
20053 / 110348 rounded to 0.12716351490967565 	 min so far 0.08817671865524541
20054 / 110348 rounded to 0.12191316781836378 	 min so far 0.08817671865524541
20055 / 110348 rounded to 0.1466696886578112 	 min so far 0.08817671865524541
20056 / 110348 rounded to 0.12084363841416515 	 min so far 0.08817671865524541
20057 / 110348 rounded to 0.11237082145882228 	 min so far 0.08817671865524541
20058 / 110348 rounded to 0.1017269320538374 	 min so far 0.08817671865524541
20059 / 110348 rounded to 0.1124704824600125 	 min so far 0.08817671865524541
