Reading problem outline... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
With scale 21
Unpickling rounded matrices
Reading problem file... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
Testing of rounded starts...
0 / 110348 rounded to 0.10997956958304178  
1 / 110348 rounded to 0.10975169918715963 	 min so far 0.10997956958304178
2 / 110348 rounded to 0.10960000599058718 	 min so far 0.10975169918715963
3 / 110348 rounded to 0.10923229758553885 	 min so far 0.10960000599058718
4 / 110348 rounded to 0.11049228691735735 	 min so far 0.10923229758553885
5 / 110348 rounded to 0.11141764019934033 	 min so far 0.10923229758553885
6 / 110348 rounded to 0.10717284303131626 	 min so far 0.10923229758553885
7 / 110348 rounded to 0.11046062688045956 	 min so far 0.10717284303131626
8 / 110348 rounded to 0.10971285574791823 	 min so far 0.10717284303131626
9 / 110348 rounded to 0.1086482680189453 	 min so far 0.10717284303131626
10 / 110348 rounded to 0.10887362530956284 	 min so far 0.10717284303131626
11 / 110348 rounded to 0.10890931088866465 	 min so far 0.10717284303131626
12 / 110348 rounded to 0.09692750490948686 	 min so far 0.10717284303131626
13 / 110348 rounded to 0.10910784042688063 	 min so far 0.09692750490948686
14 / 110348 rounded to 0.10980615904672904 	 min so far 0.09692750490948686
15 / 110348 rounded to 0.1099440185016207 	 min so far 0.09692750490948686
16 / 110348 rounded to 0.1096387691072627 	 min so far 0.09692750490948686
17 / 110348 rounded to 0.11002190100473129 	 min so far 0.09692750490948686
18 / 110348 rounded to 0.1074861403331439 	 min so far 0.09692750490948686
19 / 110348 rounded to 0.11033628434624422 	 min so far 0.09692750490948686
20 / 110348 rounded to 0.10930394930107427 	 min so far 0.09692750490948686
21 / 110348 rounded to 0.11012960823775989 	 min so far 0.09692750490948686
22 / 110348 rounded to 0.10994006021928553 	 min so far 0.09692750490948686
23 / 110348 rounded to 0.11202156690454101 	 min so far 0.09692750490948686
24 / 110348 rounded to 0.10837062448748258 	 min so far 0.09692750490948686
25 / 110348 rounded to 0.10938854881223344 	 min so far 0.09692750490948686
26 / 110348 rounded to 0.10803510803884413 	 min so far 0.09692750490948686
27 / 110348 rounded to 0.10899075240400541 	 min so far 0.09692750490948686
28 / 110348 rounded to 0.10680026816110397 	 min so far 0.09692750490948686
29 / 110348 rounded to 0.1079861970365348 	 min so far 0.09692750490948686
30 / 110348 rounded to 0.10991553559956942 	 min so far 0.09692750490948686
31 / 110348 rounded to 0.10860124794191428 	 min so far 0.09692750490948686
32 / 110348 rounded to 0.10944014448520989 	 min so far 0.09692750490948686
33 / 110348 rounded to 0.10999855542599453 	 min so far 0.09692750490948686
34 / 110348 rounded to 0.11164213266152834 	 min so far 0.09692750490948686
35 / 110348 rounded to 0.10699519749765572 	 min so far 0.09692750490948686
36 / 110348 rounded to 0.10802849489072786 	 min so far 0.09692750490948686
37 / 110348 rounded to 0.11408302086439916 	 min so far 0.09692750490948686
38 / 110348 rounded to 0.10738484232674697 	 min so far 0.09692750490948686
39 / 110348 rounded to 0.10799524026915815 	 min so far 0.09692750490948686
40 / 110348 rounded to 0.11333529295610882 	 min so far 0.09692750490948686
41 / 110348 rounded to 0.11212664265231705 	 min so far 0.09692750490948686
42 / 110348 rounded to 0.09431996310654919 	 min so far 0.09692750490948686
43 / 110348 rounded to 0.11066664812739481 	 min so far 0.09431996310654919
44 / 110348 rounded to 0.11069505797348331 	 min so far 0.09431996310654919
45 / 110348 rounded to 0.11030395199911384 	 min so far 0.09431996310654919
46 / 110348 rounded to 0.11138695253058743 	 min so far 0.09431996310654919
47 / 110348 rounded to 0.11335596468479613 	 min so far 0.09431996310654919
48 / 110348 rounded to 0.1111278444874719 	 min so far 0.09431996310654919
49 / 110348 rounded to 0.10904696789243913 	 min so far 0.09431996310654919
50 / 110348 rounded to 0.11067170968422187 	 min so far 0.09431996310654919
51 / 110348 rounded to 0.1112529632498904 	 min so far 0.09431996310654919
52 / 110348 rounded to 0.11428880494188855 	 min so far 0.09431996310654919
53 / 110348 rounded to 0.11161475520003665 	 min so far 0.09431996310654919
54 / 110348 rounded to 0.09529997995459746 	 min so far 0.09431996310654919
55 / 110348 rounded to 0.11052813969573164 	 min so far 0.09431996310654919
56 / 110348 rounded to 0.1075450173650494 	 min so far 0.09431996310654919
57 / 110348 rounded to 0.10626478014777675 	 min so far 0.09431996310654919
58 / 110348 rounded to 0.10710086973500299 	 min so far 0.09431996310654919
59 / 110348 rounded to 0.10770410632147928 	 min so far 0.09431996310654919
60 / 110348 rounded to 0.10817684317242156 	 min so far 0.09431996310654919
61 / 110348 rounded to 0.10941397150413824 	 min so far 0.09431996310654919
62 / 110348 rounded to 0.10914221329303408 	 min so far 0.09431996310654919
63 / 110348 rounded to 0.10748562995240392 	 min so far 0.09431996310654919
64 / 110348 rounded to 0.11068183508749309 	 min so far 0.09431996310654919
65 / 110348 rounded to 0.10898403213033243 	 min so far 0.09431996310654919
66 / 110348 rounded to 0.10697441128014187 	 min so far 0.09431996310654919
67 / 110348 rounded to 0.1093443729500644 	 min so far 0.09431996310654919
68 / 110348 rounded to 0.11087291780031942 	 min so far 0.09431996310654919
69 / 110348 rounded to 0.10780049653496444 	 min so far 0.09431996310654919
70 / 110348 rounded to 0.1116557886430977 	 min so far 0.09431996310654919
71 / 110348 rounded to 0.1072251351227186 	 min so far 0.09431996310654919
72 / 110348 rounded to 0.10910886064205087 	 min so far 0.09431996310654919
73 / 110348 rounded to 0.1093851234179371 	 min so far 0.09431996310654919
74 / 110348 rounded to 0.10869893763998638 	 min so far 0.09431996310654919
75 / 110348 rounded to 0.10817008910966845 	 min so far 0.09431996310654919
76 / 110348 rounded to 0.10944408684342107 	 min so far 0.09431996310654919
77 / 110348 rounded to 0.10697356094174519 	 min so far 0.09431996310654919
78 / 110348 rounded to 0.10734915917171121 	 min so far 0.09431996310654919
79 / 110348 rounded to 0.10585206239034611 	 min so far 0.09431996310654919
80 / 110348 rounded to 0.10914091742115563 	 min so far 0.09431996310654919
81 / 110348 rounded to 0.10802102806685292 	 min so far 0.09431996310654919
82 / 110348 rounded to 0.10958602256457765 	 min so far 0.09431996310654919
83 / 110348 rounded to 0.10727628305589701 	 min so far 0.09431996310654919
84 / 110348 rounded to 0.106520358870943 	 min so far 0.09431996310654919
85 / 110348 rounded to 0.10836427674820256 	 min so far 0.09431996310654919
86 / 110348 rounded to 0.10940192639776593 	 min so far 0.09431996310654919
87 / 110348 rounded to 0.11000957070686052 	 min so far 0.09431996310654919
88 / 110348 rounded to 0.1092012545215294 	 min so far 0.09431996310654919
89 / 110348 rounded to 0.11023842204606198 	 min so far 0.09431996310654919
90 / 110348 rounded to 0.10926333961354293 	 min so far 0.09431996310654919
91 / 110348 rounded to 0.10969051928006646 	 min so far 0.09431996310654919
92 / 110348 rounded to 0.1149103422980851 	 min so far 0.09431996310654919
93 / 110348 rounded to 0.10860763249436414 	 min so far 0.09431996310654919
94 / 110348 rounded to 0.10798686847687101 	 min so far 0.09431996310654919
95 / 110348 rounded to 0.1003176478658618 	 min so far 0.09431996310654919
96 / 110348 rounded to 0.10963545705850289 	 min so far 0.09431996310654919
97 / 110348 rounded to 0.10459671345937703 	 min so far 0.09431996310654919
