Reading problem outline... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
With scale 21
Unpickling rounded matrices
Reading problem file... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
Testing of rounded starts...
40000 / 110348 rounded to 0.12093324203536893  
40001 / 110348 rounded to 0.10659528504495253 	 min so far 0.12093324203536893
40002 / 110348 rounded to 0.10517930413671162 	 min so far 0.10659528504495253
40003 / 110348 rounded to 0.1114742153099958 	 min so far 0.10517930413671162
40004 / 110348 rounded to 0.10768411760513145 	 min so far 0.10517930413671162
40005 / 110348 rounded to 0.10764524202602244 	 min so far 0.10517930413671162
40006 / 110348 rounded to 0.09289327869954084 	 min so far 0.10517930413671162
40007 / 110348 rounded to 0.10515439535417277 	 min so far 0.09289327869954084
40008 / 110348 rounded to 0.11047217074935099 	 min so far 0.09289327869954084
40009 / 110348 rounded to 0.09992607346746236 	 min so far 0.09289327869954084
40010 / 110348 rounded to 0.11876895395402798 	 min so far 0.09289327869954084
40011 / 110348 rounded to 0.12500449175133643 	 min so far 0.09289327869954084
40012 / 110348 rounded to 0.10801815799615053 	 min so far 0.09289327869954084
40013 / 110348 rounded to 0.11008330681629445 	 min so far 0.09289327869954084
40014 / 110348 rounded to 0.11464571767495665 	 min so far 0.09289327869954084
40015 / 110348 rounded to 0.11810925781715129 	 min so far 0.09289327869954084
40016 / 110348 rounded to 0.10139235159484725 	 min so far 0.09289327869954084
40017 / 110348 rounded to 0.10428452636596333 	 min so far 0.09289327869954084
40018 / 110348 rounded to 0.11007617348172802 	 min so far 0.09289327869954084
40019 / 110348 rounded to 0.11691561899160167 	 min so far 0.09289327869954084
40020 / 110348 rounded to 0.10306550044131557 	 min so far 0.09289327869954084
40021 / 110348 rounded to 0.1349151753148749 	 min so far 0.09289327869954084
40022 / 110348 rounded to 0.10486326943877655 	 min so far 0.09289327869954084
40023 / 110348 rounded to 0.1025823294258036 	 min so far 0.09289327869954084
40024 / 110348 rounded to 0.1101446987886107 	 min so far 0.09289327869954084
40025 / 110348 rounded to 0.09918615345238761 	 min so far 0.09289327869954084
