Reading problem outline... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
With scale 15
Unpickling rounded matrices
Reading problem file... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
Testing of rounded starts...
180000 / 505163 rounded to 0.02225905485522038  
180001 / 505163 rounded to 0.021885911957318545 	 min so far 0.02225905485522038
180002 / 505163 rounded to 0.021887858230307863 	 min so far 0.021885911957318545
180003 / 505163 rounded to 0.02204157708398284 	 min so far 0.021885911957318545
180004 / 505163 rounded to 0.02321297436587522 	 min so far 0.021885911957318545
180005 / 505163 rounded to 0.022374226327450973 	 min so far 0.021885911957318545
180006 / 505163 rounded to 0.02500987871450293 	 min so far 0.021885911957318545
180007 / 505163 rounded to 0.023937366035590053 	 min so far 0.021885911957318545
180008 / 505163 rounded to 0.024052114787200738 	 min so far 0.021885911957318545
180009 / 505163 rounded to 0.02341414886505279 	 min so far 0.021885911957318545
180010 / 505163 rounded to 0.022052709461888868 	 min so far 0.021885911957318545
180011 / 505163 rounded to 0.02363490602826596 	 min so far 0.021885911957318545
180012 / 505163 rounded to 0.023855675896585778 	 min so far 0.021885911957318545
180013 / 505163 rounded to 0.022785838689864543 	 min so far 0.021885911957318545
180014 / 505163 rounded to 0.023208015520893004 	 min so far 0.021885911957318545
180015 / 505163 rounded to 0.022256838778474165 	 min so far 0.021885911957318545
180016 / 505163 rounded to 0.0227582259920048 	 min so far 0.021885911957318545
180017 / 505163 rounded to 0.022040153116559876 	 min so far 0.021885911957318545
180018 / 505163 rounded to 0.023168419149306053 	 min so far 0.021885911957318545
180019 / 505163 rounded to 0.021964575489939388 	 min so far 0.021885911957318545
180020 / 505163 rounded to 0.024853916779845834 	 min so far 0.021885911957318545
180021 / 505163 rounded to 0.023348880702068798 	 min so far 0.021885911957318545
180022 / 505163 rounded to 0.02488924225512081 	 min so far 0.021885911957318545
180023 / 505163 rounded to 0.02215039550232396 	 min so far 0.021885911957318545
180024 / 505163 rounded to 0.023482029305220163 	 min so far 0.021885911957318545
180025 / 505163 rounded to 0.022360888868871373 	 min so far 0.021885911957318545
180026 / 505163 rounded to 0.022779877609895034 	 min so far 0.021885911957318545
180027 / 505163 rounded to 0.02328755150648794 	 min so far 0.021885911957318545
180028 / 505163 rounded to 0.022254593776789122 	 min so far 0.021885911957318545
180029 / 505163 rounded to 0.023268640213329524 	 min so far 0.021885911957318545
180030 / 505163 rounded to 0.022673736208060298 	 min so far 0.021885911957318545
180031 / 505163 rounded to 0.022112092889180108 	 min so far 0.021885911957318545
180032 / 505163 rounded to 0.023061392978579225 	 min so far 0.021885911957318545
180033 / 505163 rounded to 0.02447515707819733 	 min so far 0.021885911957318545
180034 / 505163 rounded to 0.025629361003067265 	 min so far 0.021885911957318545
180035 / 505163 rounded to 0.023222211261554618 	 min so far 0.021885911957318545
180036 / 505163 rounded to 0.025400915537375644 	 min so far 0.021885911957318545
180037 / 505163 rounded to 0.0222725833192487 	 min so far 0.021885911957318545
180038 / 505163 rounded to 0.02223598812715325 	 min so far 0.021885911957318545
180039 / 505163 rounded to 0.022792441146202734 	 min so far 0.021885911957318545
180040 / 505163 rounded to 0.02362656130269774 	 min so far 0.021885911957318545
180041 / 505163 rounded to 0.024900107275595242 	 min so far 0.021885911957318545
180042 / 505163 rounded to 0.02418471746476539 	 min so far 0.021885911957318545
180043 / 505163 rounded to 0.023059121968823808 	 min so far 0.021885911957318545
180044 / 505163 rounded to 0.026299685284113927 	 min so far 0.021885911957318545
180045 / 505163 rounded to 0.02511049754116035 	 min so far 0.021885911957318545
180046 / 505163 rounded to 0.025594680114301868 	 min so far 0.021885911957318545
180047 / 505163 rounded to 0.02272926214079934 	 min so far 0.021885911957318545
180048 / 505163 rounded to 0.022340106300449837 	 min so far 0.021885911957318545
180049 / 505163 rounded to 0.023099678181534442 	 min so far 0.021885911957318545
180050 / 505163 rounded to 0.02425215208699293 	 min so far 0.021885911957318545
180051 / 505163 rounded to 0.023499445685477353 	 min so far 0.021885911957318545
180052 / 505163 rounded to 0.02325207828674224 	 min so far 0.021885911957318545
180053 / 505163 rounded to 0.022116691903017134 	 min so far 0.021885911957318545
180054 / 505163 rounded to 0.022384575045176137 	 min so far 0.021885911957318545
180055 / 505163 rounded to 0.025736145607500156 	 min so far 0.021885911957318545
180056 / 505163 rounded to 0.022829408250885617 	 min so far 0.021885911957318545
180057 / 505163 rounded to 0.025522944079885715 	 min so far 0.021885911957318545
180058 / 505163 rounded to 0.02310708106413295 	 min so far 0.021885911957318545
180059 / 505163 rounded to 0.022122415076462988 	 min so far 0.021885911957318545
180060 / 505163 rounded to 0.022006580965199817 	 min so far 0.021885911957318545
180061 / 505163 rounded to 0.022756091596722542 	 min so far 0.021885911957318545
180062 / 505163 rounded to 0.02225791921155732 	 min so far 0.021885911957318545
180063 / 505163 rounded to 0.02329010788860069 	 min so far 0.021885911957318545
180064 / 505163 rounded to 0.02671731238042501 	 min so far 0.021885911957318545
180065 / 505163 rounded to 0.02507709096972441 	 min so far 0.021885911957318545
180066 / 505163 rounded to 0.023669278425380684 	 min so far 0.021885911957318545
180067 / 505163 rounded to 0.023240098582707664 	 min so far 0.021885911957318545
180068 / 505163 rounded to 0.02355903746203645 	 min so far 0.021885911957318545
180069 / 505163 rounded to 0.02201018046518557 	 min so far 0.021885911957318545
180070 / 505163 rounded to 0.021989372102281534 	 min so far 0.021885911957318545
180071 / 505163 rounded to 0.022164582780091476 	 min so far 0.021885911957318545
