Reading problem outline... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
With scale 15
Unpickling rounded matrices
Reading problem file... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
Testing of rounded starts...
20000 / 505163 rounded to 0.03018166355875288  
20001 / 505163 rounded to 0.025973771499920986 	 min so far 0.03018166355875288
20002 / 505163 rounded to 0.02327104090196525 	 min so far 0.025973771499920986
20003 / 505163 rounded to 0.026475434571593643 	 min so far 0.02327104090196525
20004 / 505163 rounded to 0.02208860005330667 	 min so far 0.02327104090196525
20005 / 505163 rounded to 0.02880033784247813 	 min so far 0.02208860005330667
20006 / 505163 rounded to 0.022268041259817867 	 min so far 0.02208860005330667
20007 / 505163 rounded to 0.023113827812446683 	 min so far 0.02208860005330667
20008 / 505163 rounded to 0.028681327423344186 	 min so far 0.02208860005330667
20009 / 505163 rounded to 0.023135353441430546 	 min so far 0.02208860005330667
20010 / 505163 rounded to 0.024349639194398098 	 min so far 0.02208860005330667
20011 / 505163 rounded to 0.02484935246199801 	 min so far 0.02208860005330667
20012 / 505163 rounded to 0.02378391853154972 	 min so far 0.02208860005330667
20013 / 505163 rounded to 0.022103345673035943 	 min so far 0.02208860005330667
20014 / 505163 rounded to 0.02563570367067822 	 min so far 0.02208860005330667
20015 / 505163 rounded to 0.025906248076133828 	 min so far 0.02208860005330667
20016 / 505163 rounded to 0.022389458152814963 	 min so far 0.02208860005330667
20017 / 505163 rounded to 0.025944356866128258 	 min so far 0.02208860005330667
20018 / 505163 rounded to 0.026511297026627967 	 min so far 0.02208860005330667
20019 / 505163 rounded to 0.02336917088925967 	 min so far 0.02208860005330667
20020 / 505163 rounded to 0.023319408926247048 	 min so far 0.02208860005330667
20021 / 505163 rounded to 0.024417982522792724 	 min so far 0.02208860005330667
20022 / 505163 rounded to 0.028976935796850883 	 min so far 0.02208860005330667
20023 / 505163 rounded to 0.027398017238609237 	 min so far 0.02208860005330667
20024 / 505163 rounded to 0.027682726380171514 	 min so far 0.02208860005330667
20025 / 505163 rounded to 0.025548877519011033 	 min so far 0.02208860005330667
20026 / 505163 rounded to 0.02713675614895269 	 min so far 0.02208860005330667
20027 / 505163 rounded to 0.027211495655043664 	 min so far 0.02208860005330667
20028 / 505163 rounded to 0.027095431908809343 	 min so far 0.02208860005330667
20029 / 505163 rounded to 0.02217161625763785 	 min so far 0.02208860005330667
20030 / 505163 rounded to 0.024460201635714832 	 min so far 0.02208860005330667
20031 / 505163 rounded to 0.028239991666457798 	 min so far 0.02208860005330667
20032 / 505163 rounded to 0.024525582913537958 	 min so far 0.02208860005330667
20033 / 505163 rounded to 0.02705763354626153 	 min so far 0.02208860005330667
20034 / 505163 rounded to 0.025744393349763115 	 min so far 0.02208860005330667
20035 / 505163 rounded to 0.025970201227997744 	 min so far 0.02208860005330667
20036 / 505163 rounded to 0.025977034325968915 	 min so far 0.02208860005330667
20037 / 505163 rounded to 0.026120861387080897 	 min so far 0.02208860005330667
20038 / 505163 rounded to 0.02259349975416443 	 min so far 0.02208860005330667
20039 / 505163 rounded to 0.027071610540894384 	 min so far 0.02208860005330667
20040 / 505163 rounded to 0.02245467416652808 	 min so far 0.02208860005330667
20041 / 505163 rounded to 0.02524241444734335 	 min so far 0.02208860005330667
20042 / 505163 rounded to 0.02808231750676129 	 min so far 0.02208860005330667
20043 / 505163 rounded to 0.028221436250410268 	 min so far 0.02208860005330667
20044 / 505163 rounded to 0.02716884442408713 	 min so far 0.02208860005330667
20045 / 505163 rounded to 0.026960268415036806 	 min so far 0.02208860005330667
20046 / 505163 rounded to 0.026529997029924045 	 min so far 0.02208860005330667
20047 / 505163 rounded to 0.023733488675345773 	 min so far 0.02208860005330667
20048 / 505163 rounded to 0.03023170734215795 	 min so far 0.02208860005330667
20049 / 505163 rounded to 0.023327546702221872 	 min so far 0.02208860005330667
20050 / 505163 rounded to 0.023568376324944264 	 min so far 0.02208860005330667
