Reading problem outline... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
With scale 15
Unpickling rounded matrices
Reading problem file... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
Testing of rounded starts...
80000 / 505163 rounded to 0.022453167237879355  
80001 / 505163 rounded to 0.02309069148950852 	 min so far 0.022453167237879355
80002 / 505163 rounded to 0.02209658154237486 	 min so far 0.022453167237879355
80003 / 505163 rounded to 0.027182907558379675 	 min so far 0.02209658154237486
80004 / 505163 rounded to 0.02199257401063868 	 min so far 0.02209658154237486
80005 / 505163 rounded to 0.021953190200706605 	 min so far 0.02199257401063868
80006 / 505163 rounded to 0.029420436782893085 	 min so far 0.021953190200706605
80007 / 505163 rounded to 0.026425316054053027 	 min so far 0.021953190200706605
80008 / 505163 rounded to 0.026244491976103953 	 min so far 0.021953190200706605
80009 / 505163 rounded to 0.026424986958884875 	 min so far 0.021953190200706605
80010 / 505163 rounded to 0.028488902728248524 	 min so far 0.021953190200706605
80011 / 505163 rounded to 0.029096354441609983 	 min so far 0.021953190200706605
80012 / 505163 rounded to 0.024712921933689982 	 min so far 0.021953190200706605
80013 / 505163 rounded to 0.025287743277035243 	 min so far 0.021953190200706605
80014 / 505163 rounded to 0.02219039796229659 	 min so far 0.021953190200706605
80015 / 505163 rounded to 0.02226321660411501 	 min so far 0.021953190200706605
80016 / 505163 rounded to 0.02298432227519631 	 min so far 0.021953190200706605
80017 / 505163 rounded to 0.024065322631739383 	 min so far 0.021953190200706605
80018 / 505163 rounded to 0.02384406964156876 	 min so far 0.021953190200706605
80019 / 505163 rounded to 0.02227119601855645 	 min so far 0.021953190200706605
80020 / 505163 rounded to 0.02256846237001869 	 min so far 0.021953190200706605
80021 / 505163 rounded to 0.023004793187549517 	 min so far 0.021953190200706605
80022 / 505163 rounded to 0.024928124372503222 	 min so far 0.021953190200706605
80023 / 505163 rounded to 0.0236746480571075 	 min so far 0.021953190200706605
80024 / 505163 rounded to 0.022220437362543997 	 min so far 0.021953190200706605
80025 / 505163 rounded to 0.024384832285952007 	 min so far 0.021953190200706605
80026 / 505163 rounded to 0.022040456652473346 	 min so far 0.021953190200706605
80027 / 505163 rounded to 0.02205173884458193 	 min so far 0.021953190200706605
80028 / 505163 rounded to 0.02512443033266799 	 min so far 0.021953190200706605
80029 / 505163 rounded to 0.022466056924823223 	 min so far 0.021953190200706605
80030 / 505163 rounded to 0.02287106638684549 	 min so far 0.021953190200706605
80031 / 505163 rounded to 0.02316647639785755 	 min so far 0.021953190200706605
80032 / 505163 rounded to 0.022598414406253396 	 min so far 0.021953190200706605
80033 / 505163 rounded to 0.021921418989491726 	 min so far 0.021953190200706605
80034 / 505163 rounded to 0.02449546762888704 	 min so far 0.021921418989491726
80035 / 505163 rounded to 0.025319459367639827 	 min so far 0.021921418989491726
80036 / 505163 rounded to 0.0230770455520125 	 min so far 0.021921418989491726
80037 / 505163 rounded to 0.025540244762106822 	 min so far 0.021921418989491726
80038 / 505163 rounded to 0.025603362500516643 	 min so far 0.021921418989491726
80039 / 505163 rounded to 0.024333360025595538 	 min so far 0.021921418989491726
80040 / 505163 rounded to 0.023422935652786893 	 min so far 0.021921418989491726
80041 / 505163 rounded to 0.024013927140237538 	 min so far 0.021921418989491726
80042 / 505163 rounded to 0.02259210498462693 	 min so far 0.021921418989491726
80043 / 505163 rounded to 0.023104267918615314 	 min so far 0.021921418989491726
80044 / 505163 rounded to 0.021981365840554334 	 min so far 0.021921418989491726
80045 / 505163 rounded to 0.02377597079408327 	 min so far 0.021921418989491726
80046 / 505163 rounded to 0.022641591341187057 	 min so far 0.021921418989491726
80047 / 505163 rounded to 0.021965752536898902 	 min so far 0.021921418989491726
80048 / 505163 rounded to 0.025243809634522118 	 min so far 0.021921418989491726
80049 / 505163 rounded to 0.022185453099175922 	 min so far 0.021921418989491726
80050 / 505163 rounded to 0.023733766777695363 	 min so far 0.021921418989491726
80051 / 505163 rounded to 0.022272031642342212 	 min so far 0.021921418989491726
80052 / 505163 rounded to 0.022625661175234724 	 min so far 0.021921418989491726
80053 / 505163 rounded to 0.022506076815070275 	 min so far 0.021921418989491726
80054 / 505163 rounded to 0.021978551693977007 	 min so far 0.021921418989491726
80055 / 505163 rounded to 0.02306083862041746 	 min so far 0.021921418989491726
80056 / 505163 rounded to 0.0222227798229543 	 min so far 0.021921418989491726
80057 / 505163 rounded to 0.02474151443876012 	 min so far 0.021921418989491726
80058 / 505163 rounded to 0.02479731162900551 	 min so far 0.021921418989491726
80059 / 505163 rounded to 0.02566756235154266 	 min so far 0.021921418989491726
80060 / 505163 rounded to 0.0228782186204944 	 min so far 0.021921418989491726
80061 / 505163 rounded to 0.02390630608947209 	 min so far 0.021921418989491726
80062 / 505163 rounded to 0.022036260372723535 	 min so far 0.021921418989491726
80063 / 505163 rounded to 0.023101012330249526 	 min so far 0.021921418989491726
80064 / 505163 rounded to 0.022521572144350487 	 min so far 0.021921418989491726
80065 / 505163 rounded to 0.023695518393415316 	 min so far 0.021921418989491726
80066 / 505163 rounded to 0.024867759949061173 	 min so far 0.021921418989491726
80067 / 505163 rounded to 0.02210781083959934 	 min so far 0.021921418989491726
80068 / 505163 rounded to 0.022578603556555644 	 min so far 0.021921418989491726
80069 / 505163 rounded to 0.02339636773546325 	 min so far 0.021921418989491726
80070 / 505163 rounded to 0.022221111269146766 	 min so far 0.021921418989491726
80071 / 505163 rounded to 0.022396585243876277 	 min so far 0.021921418989491726
80072 / 505163 rounded to 0.022305834664499945 	 min so far 0.021921418989491726
80073 / 505163 rounded to 0.022044936508008182 	 min so far 0.021921418989491726
80074 / 505163 rounded to 0.022414064130630358 	 min so far 0.021921418989491726
80075 / 505163 rounded to 0.022059919380432707 	 min so far 0.021921418989491726
80076 / 505163 rounded to 0.022908038994284872 	 min so far 0.021921418989491726
80077 / 505163 rounded to 0.02792804769723294 	 min so far 0.021921418989491726
80078 / 505163 rounded to 0.023934017121228123 	 min so far 0.021921418989491726
80079 / 505163 rounded to 0.02499464978913026 	 min so far 0.021921418989491726
80080 / 505163 rounded to 0.026427055235099788 	 min so far 0.021921418989491726
80081 / 505163 rounded to 0.029452190926059156 	 min so far 0.021921418989491726
80082 / 505163 rounded to 0.025095806259812916 	 min so far 0.021921418989491726
80083 / 505163 rounded to 0.025851125829285913 	 min so far 0.021921418989491726
80084 / 505163 rounded to 0.02541738790128467 	 min so far 0.021921418989491726
80085 / 505163 rounded to 0.023488134225523104 	 min so far 0.021921418989491726
80086 / 505163 rounded to 0.02210179711883094 	 min so far 0.021921418989491726
80087 / 505163 rounded to 0.024128399499572153 	 min so far 0.021921418989491726
80088 / 505163 rounded to 0.02338274397321768 	 min so far 0.021921418989491726
80089 / 505163 rounded to 0.022720204914110247 	 min so far 0.021921418989491726
80090 / 505163 rounded to 0.021950216245097028 	 min so far 0.021921418989491726
80091 / 505163 rounded to 0.02211156974874435 	 min so far 0.021921418989491726
80092 / 505163 rounded to 0.02202925044966855 	 min so far 0.021921418989491726
80093 / 505163 rounded to 0.023068447973696404 	 min so far 0.021921418989491726
80094 / 505163 rounded to 0.023734442859470812 	 min so far 0.021921418989491726
80095 / 505163 rounded to 0.0229012044771933 	 min so far 0.021921418989491726
80096 / 505163 rounded to 0.021965479993084226 	 min so far 0.021921418989491726
80097 / 505163 rounded to 0.02526087246056857 	 min so far 0.021921418989491726
80098 / 505163 rounded to 0.02191569723344823 	 min so far 0.021921418989491726
80099 / 505163 rounded to 0.02192886898496778 	 min so far 0.02191569723344823
80100 / 505163 rounded to 0.022999018476096884 	 min so far 0.02191569723344823
80101 / 505163 rounded to 0.02194469424425051 	 min so far 0.02191569723344823
80102 / 505163 rounded to 0.022082774516119633 	 min so far 0.02191569723344823
80103 / 505163 rounded to 0.02203225299852894 	 min so far 0.02191569723344823
80104 / 505163 rounded to 0.024051620118394915 	 min so far 0.02191569723344823
80105 / 505163 rounded to 0.0227465462281065 	 min so far 0.02191569723344823
80106 / 505163 rounded to 0.022009299150307422 	 min so far 0.02191569723344823
80107 / 505163 rounded to 0.02202982054871361 	 min so far 0.02191569723344823
80108 / 505163 rounded to 0.02189921138890584 	 min so far 0.02191569723344823
80109 / 505163 rounded to 0.022227227468336868 	 min so far 0.02189921138890584
80110 / 505163 rounded to 0.022000710248509994 	 min so far 0.02189921138890584
80111 / 505163 rounded to 0.022031413627369167 	 min so far 0.02189921138890584
80112 / 505163 rounded to 0.02223973659003349 	 min so far 0.02189921138890584
80113 / 505163 rounded to 0.0234245737213456 	 min so far 0.02189921138890584
80114 / 505163 rounded to 0.021998397978134566 	 min so far 0.02189921138890584
80115 / 505163 rounded to 0.02405721256341834 	 min so far 0.02189921138890584
80116 / 505163 rounded to 0.022352681260263248 	 min so far 0.02189921138890584
80117 / 505163 rounded to 0.021907983620456647 	 min so far 0.02189921138890584
80118 / 505163 rounded to 0.02193202863598624 	 min so far 0.02189921138890584
80119 / 505163 rounded to 0.02189882186512076 	 min so far 0.02189921138890584
80120 / 505163 rounded to 0.022460171686751757 	 min so far 0.02189882186512076
80121 / 505163 rounded to 0.02428663903594289 	 min so far 0.02189882186512076
80122 / 505163 rounded to 0.024114559538122648 	 min so far 0.02189882186512076
80123 / 505163 rounded to 0.022790900660757372 	 min so far 0.02189882186512076
80124 / 505163 rounded to 0.02377811062263937 	 min so far 0.02189882186512076
80125 / 505163 rounded to 0.023235476147799028 	 min so far 0.02189882186512076
80126 / 505163 rounded to 0.022336505834669566 	 min so far 0.02189882186512076
80127 / 505163 rounded to 0.02302485387294194 	 min so far 0.02189882186512076
80128 / 505163 rounded to 0.023396222052010963 	 min so far 0.02189882186512076
80129 / 505163 rounded to 0.02203484003064931 	 min so far 0.02189882186512076
80130 / 505163 rounded to 0.02325095880772836 	 min so far 0.02189882186512076
80131 / 505163 rounded to 0.02188982998820751 	 min so far 0.02189882186512076
80132 / 505163 rounded to 0.023591334739400355 	 min so far 0.02188982998820751
80133 / 505163 rounded to 0.02202064023685921 	 min so far 0.02188982998820751
80134 / 505163 rounded to 0.021957527610128435 	 min so far 0.02188982998820751
80135 / 505163 rounded to 0.023082312994074608 	 min so far 0.02188982998820751
80136 / 505163 rounded to 0.021968185134543083 	 min so far 0.02188982998820751
80137 / 505163 rounded to 0.024927462880121154 	 min so far 0.02188982998820751
80138 / 505163 rounded to 0.023234089663112523 	 min so far 0.02188982998820751
80139 / 505163 rounded to 0.022429103313684483 	 min so far 0.02188982998820751
80140 / 505163 rounded to 0.022005947315549976 	 min so far 0.02188982998820751
80141 / 505163 rounded to 0.024789007870489786 	 min so far 0.02188982998820751
80142 / 505163 rounded to 0.02228395755145832 	 min so far 0.02188982998820751
80143 / 505163 rounded to 0.022507906703149765 	 min so far 0.02188982998820751
80144 / 505163 rounded to 0.02246451717928154 	 min so far 0.02188982998820751
80145 / 505163 rounded to 0.02265609101766882 	 min so far 0.02188982998820751
80146 / 505163 rounded to 0.022957036209227 	 min so far 0.02188982998820751
80147 / 505163 rounded to 0.0219280541773066 	 min so far 0.02188982998820751
80148 / 505163 rounded to 0.022724040265533405 	 min so far 0.02188982998820751
80149 / 505163 rounded to 0.021924382143523987 	 min so far 0.02188982998820751
80150 / 505163 rounded to 0.02491303164616571 	 min so far 0.02188982998820751
80151 / 505163 rounded to 0.021999578331808253 	 min so far 0.02188982998820751
80152 / 505163 rounded to 0.0224778301269736 	 min so far 0.02188982998820751
80153 / 505163 rounded to 0.022102756753684286 	 min so far 0.02188982998820751
80154 / 505163 rounded to 0.022014328314459708 	 min so far 0.02188982998820751
80155 / 505163 rounded to 0.02291127205774258 	 min so far 0.02188982998820751
80156 / 505163 rounded to 0.02243145038087402 	 min so far 0.02188982998820751
80157 / 505163 rounded to 0.02260942364264568 	 min so far 0.02188982998820751
80158 / 505163 rounded to 0.02238070096588624 	 min so far 0.02188982998820751
80159 / 505163 rounded to 0.022027274561542676 	 min so far 0.02188982998820751
80160 / 505163 rounded to 0.024655750904623575 	 min so far 0.02188982998820751
80161 / 505163 rounded to 0.0218886543047516 	 min so far 0.02188982998820751
80162 / 505163 rounded to 0.02191695366308363 	 min so far 0.0218886543047516
80163 / 505163 rounded to 0.021939228727201176 	 min so far 0.0218886543047516
80164 / 505163 rounded to 0.022005816094500894 	 min so far 0.0218886543047516
80165 / 505163 rounded to 0.02204982411834288 	 min so far 0.0218886543047516
80166 / 505163 rounded to 0.021967140377112192 	 min so far 0.0218886543047516
80167 / 505163 rounded to 0.022858535806264957 	 min so far 0.0218886543047516
80168 / 505163 rounded to 0.02286698848883231 	 min so far 0.0218886543047516
80169 / 505163 rounded to 0.022352841354446002 	 min so far 0.0218886543047516
80170 / 505163 rounded to 0.023124437262708887 	 min so far 0.0218886543047516
80171 / 505163 rounded to 0.022450390588050016 	 min so far 0.0218886543047516
80172 / 505163 rounded to 0.025201026935568537 	 min so far 0.0218886543047516
80173 / 505163 rounded to 0.021929202336482375 	 min so far 0.0218886543047516
80174 / 505163 rounded to 0.02339749868149425 	 min so far 0.0218886543047516
80175 / 505163 rounded to 0.02193106155635016 	 min so far 0.0218886543047516
80176 / 505163 rounded to 0.022610633584531685 	 min so far 0.0218886543047516
80177 / 505163 rounded to 0.022731060593573126 	 min so far 0.0218886543047516
80178 / 505163 rounded to 0.021907981221795284 	 min so far 0.0218886543047516
80179 / 505163 rounded to 0.022192791766506525 	 min so far 0.0218886543047516
80180 / 505163 rounded to 0.02235418120757539 	 min so far 0.0218886543047516
80181 / 505163 rounded to 0.022192470668963064 	 min so far 0.0218886543047516
80182 / 505163 rounded to 0.022319134104766165 	 min so far 0.0218886543047516
80183 / 505163 rounded to 0.021965679151348082 	 min so far 0.0218886543047516
80184 / 505163 rounded to 0.021919422524699785 	 min so far 0.0218886543047516
80185 / 505163 rounded to 0.021901052722472662 	 min so far 0.0218886543047516
80186 / 505163 rounded to 0.022544615626933377 	 min so far 0.0218886543047516
80187 / 505163 rounded to 0.022341023788516958 	 min so far 0.0218886543047516
80188 / 505163 rounded to 0.023102945055380866 	 min so far 0.0218886543047516
80189 / 505163 rounded to 0.02190523517498218 	 min so far 0.0218886543047516
80190 / 505163 rounded to 0.02191774943573713 	 min so far 0.0218886543047516
80191 / 505163 rounded to 0.023329492389891904 	 min so far 0.0218886543047516
80192 / 505163 rounded to 0.02302501783599775 	 min so far 0.0218886543047516
80193 / 505163 rounded to 0.02296514062086874 	 min so far 0.0218886543047516
80194 / 505163 rounded to 0.02212752053574706 	 min so far 0.0218886543047516
80195 / 505163 rounded to 0.022780753552474487 	 min so far 0.0218886543047516
80196 / 505163 rounded to 0.02369894938076459 	 min so far 0.0218886543047516
80197 / 505163 rounded to 0.0219768491009928 	 min so far 0.0218886543047516
80198 / 505163 rounded to 0.02190753353108906 	 min so far 0.0218886543047516
80199 / 505163 rounded to 0.022267378942883817 	 min so far 0.0218886543047516
80200 / 505163 rounded to 0.022708007506185176 	 min so far 0.0218886543047516
80201 / 505163 rounded to 0.022917526889853858 	 min so far 0.0218886543047516
80202 / 505163 rounded to 0.021947710919092814 	 min so far 0.0218886543047516
80203 / 505163 rounded to 0.02525597287905825 	 min so far 0.0218886543047516
80204 / 505163 rounded to 0.02192447279372051 	 min so far 0.0218886543047516
80205 / 505163 rounded to 0.021948698836432894 	 min so far 0.0218886543047516
80206 / 505163 rounded to 0.022680110997620427 	 min so far 0.0218886543047516
80207 / 505163 rounded to 0.023131280689327575 	 min so far 0.0218886543047516
80208 / 505163 rounded to 0.02191873756390953 	 min so far 0.0218886543047516
80209 / 505163 rounded to 0.02208375031619136 	 min so far 0.0218886543047516
80210 / 505163 rounded to 0.02193671928385632 	 min so far 0.0218886543047516
80211 / 505163 rounded to 0.022601081763038326 	 min so far 0.0218886543047516
80212 / 505163 rounded to 0.02271307229177688 	 min so far 0.0218886543047516
80213 / 505163 rounded to 0.024331928466907626 	 min so far 0.0218886543047516
80214 / 505163 rounded to 0.023425221609545722 	 min so far 0.0218886543047516
80215 / 505163 rounded to 0.02271270851908744 	 min so far 0.0218886543047516
80216 / 505163 rounded to 0.02504379511040093 	 min so far 0.0218886543047516
80217 / 505163 rounded to 0.02248672319849543 	 min so far 0.0218886543047516
80218 / 505163 rounded to 0.023860794758952694 	 min so far 0.0218886543047516
80219 / 505163 rounded to 0.024326708396346472 	 min so far 0.0218886543047516
80220 / 505163 rounded to 0.022204271573351125 	 min so far 0.0218886543047516
80221 / 505163 rounded to 0.023893103440413135 	 min so far 0.0218886543047516
80222 / 505163 rounded to 0.02268850668619079 	 min so far 0.0218886543047516
80223 / 505163 rounded to 0.021966589948186212 	 min so far 0.0218886543047516
80224 / 505163 rounded to 0.022284338142882828 	 min so far 0.0218886543047516
80225 / 505163 rounded to 0.02444327662554181 	 min so far 0.0218886543047516
80226 / 505163 rounded to 0.027003907925792728 	 min so far 0.0218886543047516
80227 / 505163 rounded to 0.02233174531732368 	 min so far 0.0218886543047516
80228 / 505163 rounded to 0.021964090824619815 	 min so far 0.0218886543047516
80229 / 505163 rounded to 0.021890744892326328 	 min so far 0.0218886543047516
80230 / 505163 rounded to 0.021971903989525306 	 min so far 0.0218886543047516
80231 / 505163 rounded to 0.021904902567023037 	 min so far 0.0218886543047516
80232 / 505163 rounded to 0.0233367319554116 	 min so far 0.0218886543047516
80233 / 505163 rounded to 0.022543254021714223 	 min so far 0.0218886543047516
80234 / 505163 rounded to 0.022116913963772186 	 min so far 0.0218886543047516
80235 / 505163 rounded to 0.0219383433992143 	 min so far 0.0218886543047516
80236 / 505163 rounded to 0.022027192144477535 	 min so far 0.0218886543047516
80237 / 505163 rounded to 0.021897800030004636 	 min so far 0.0218886543047516
80238 / 505163 rounded to 0.022078860388361973 	 min so far 0.0218886543047516
80239 / 505163 rounded to 0.022104548570284113 	 min so far 0.0218886543047516
80240 / 505163 rounded to 0.023340779045621766 	 min so far 0.0218886543047516
80241 / 505163 rounded to 0.02441616888632535 	 min so far 0.0218886543047516
80242 / 505163 rounded to 0.027445441553614395 	 min so far 0.0218886543047516
80243 / 505163 rounded to 0.025173213745764148 	 min so far 0.0218886543047516
80244 / 505163 rounded to 0.022149306860233205 	 min so far 0.0218886543047516
80245 / 505163 rounded to 0.02396812380033202 	 min so far 0.0218886543047516
80246 / 505163 rounded to 0.026297313503075504 	 min so far 0.0218886543047516
80247 / 505163 rounded to 0.025647211569497196 	 min so far 0.0218886543047516
80248 / 505163 rounded to 0.02387686624523096 	 min so far 0.0218886543047516
80249 / 505163 rounded to 0.023370769092900392 	 min so far 0.0218886543047516
80250 / 505163 rounded to 0.022669035241160436 	 min so far 0.0218886543047516
80251 / 505163 rounded to 0.022060802934173132 	 min so far 0.0218886543047516
80252 / 505163 rounded to 0.022763749319507667 	 min so far 0.0218886543047516
