Reading problem outline... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
With scale 15
Unpickling rounded matrices
Reading problem file... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
Testing of rounded starts...
120000 / 505163 rounded to 0.023686525816323092  
120001 / 505163 rounded to 0.02693045765892051 	 min so far 0.023686525816323092
120002 / 505163 rounded to 0.023496664560069064 	 min so far 0.023686525816323092
120003 / 505163 rounded to 0.022464067636570276 	 min so far 0.023496664560069064
120004 / 505163 rounded to 0.02455734202900497 	 min so far 0.022464067636570276
120005 / 505163 rounded to 0.02537738132702174 	 min so far 0.022464067636570276
120006 / 505163 rounded to 0.024596961795649804 	 min so far 0.022464067636570276
120007 / 505163 rounded to 0.023595890701872232 	 min so far 0.022464067636570276
120008 / 505163 rounded to 0.02219399482723939 	 min so far 0.022464067636570276
120009 / 505163 rounded to 0.024067951073932222 	 min so far 0.02219399482723939
120010 / 505163 rounded to 0.024662589407740607 	 min so far 0.02219399482723939
120011 / 505163 rounded to 0.031312819678046756 	 min so far 0.02219399482723939
120012 / 505163 rounded to 0.024909668186854597 	 min so far 0.02219399482723939
120013 / 505163 rounded to 0.028516977768882668 	 min so far 0.02219399482723939
120014 / 505163 rounded to 0.02983778273522795 	 min so far 0.02219399482723939
120015 / 505163 rounded to 0.029529496191704595 	 min so far 0.02219399482723939
120016 / 505163 rounded to 0.02412219927407537 	 min so far 0.02219399482723939
120017 / 505163 rounded to 0.022348979586161825 	 min so far 0.02219399482723939
120018 / 505163 rounded to 0.02359290708222721 	 min so far 0.02219399482723939
120019 / 505163 rounded to 0.02382399240396532 	 min so far 0.02219399482723939
120020 / 505163 rounded to 0.02446396738718626 	 min so far 0.02219399482723939
120021 / 505163 rounded to 0.024855931179858157 	 min so far 0.02219399482723939
120022 / 505163 rounded to 0.023169388242041785 	 min so far 0.02219399482723939
120023 / 505163 rounded to 0.026051860758679584 	 min so far 0.02219399482723939
120024 / 505163 rounded to 0.027034202793029132 	 min so far 0.02219399482723939
120025 / 505163 rounded to 0.02189112200829656 	 min so far 0.02219399482723939
120026 / 505163 rounded to 0.021999082201864053 	 min so far 0.02189112200829656
120027 / 505163 rounded to 0.02689369835392484 	 min so far 0.02189112200829656
120028 / 505163 rounded to 0.027072912315943005 	 min so far 0.02189112200829656
