Reading problem outline... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
With scale 15
Unpickling rounded matrices
Reading problem file... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
Testing of rounded starts...
160000 / 505163 rounded to 0.028286610327122992  
160001 / 505163 rounded to 0.029163834716462254 	 min so far 0.028286610327122992
160002 / 505163 rounded to 0.024819262930908192 	 min so far 0.028286610327122992
160003 / 505163 rounded to 0.023809972051836145 	 min so far 0.024819262930908192
160004 / 505163 rounded to 0.025086434143337943 	 min so far 0.023809972051836145
160005 / 505163 rounded to 0.02496542104319189 	 min so far 0.023809972051836145
160006 / 505163 rounded to 0.025450333898365044 	 min so far 0.023809972051836145
160007 / 505163 rounded to 0.02414414573459335 	 min so far 0.023809972051836145
160008 / 505163 rounded to 0.025231349818731937 	 min so far 0.023809972051836145
160009 / 505163 rounded to 0.022114786190750933 	 min so far 0.023809972051836145
160010 / 505163 rounded to 0.023227510850094953 	 min so far 0.022114786190750933
160011 / 505163 rounded to 0.023242167572188673 	 min so far 0.022114786190750933
160012 / 505163 rounded to 0.023911118769672227 	 min so far 0.022114786190750933
160013 / 505163 rounded to 0.02267189299805063 	 min so far 0.022114786190750933
160014 / 505163 rounded to 0.022008225366498706 	 min so far 0.022114786190750933
160015 / 505163 rounded to 0.02231226190667489 	 min so far 0.022008225366498706
160016 / 505163 rounded to 0.02410942466854164 	 min so far 0.022008225366498706
160017 / 505163 rounded to 0.022142653352441522 	 min so far 0.022008225366498706
160018 / 505163 rounded to 0.02192602180314609 	 min so far 0.022008225366498706
160019 / 505163 rounded to 0.027294489447746945 	 min so far 0.02192602180314609
160020 / 505163 rounded to 0.024122858668943915 	 min so far 0.02192602180314609
160021 / 505163 rounded to 0.02578191386287151 	 min so far 0.02192602180314609
160022 / 505163 rounded to 0.026047283430803134 	 min so far 0.02192602180314609
160023 / 505163 rounded to 0.02336605304322855 	 min so far 0.02192602180314609
160024 / 505163 rounded to 0.02319869747241996 	 min so far 0.02192602180314609
160025 / 505163 rounded to 0.022551356984327198 	 min so far 0.02192602180314609
160026 / 505163 rounded to 0.023060293689916585 	 min so far 0.02192602180314609
160027 / 505163 rounded to 0.026199691686990236 	 min so far 0.02192602180314609
160028 / 505163 rounded to 0.02284387496806951 	 min so far 0.02192602180314609
160029 / 505163 rounded to 0.02678278401878498 	 min so far 0.02192602180314609
160030 / 505163 rounded to 0.022289653045388193 	 min so far 0.02192602180314609
160031 / 505163 rounded to 0.026422480585113584 	 min so far 0.02192602180314609
160032 / 505163 rounded to 0.026205874049347714 	 min so far 0.02192602180314609
160033 / 505163 rounded to 0.027352818430021977 	 min so far 0.02192602180314609
160034 / 505163 rounded to 0.023426020028611896 	 min so far 0.02192602180314609
160035 / 505163 rounded to 0.025710537859322768 	 min so far 0.02192602180314609
160036 / 505163 rounded to 0.024305417870305327 	 min so far 0.02192602180314609
160037 / 505163 rounded to 0.026138665766808702 	 min so far 0.02192602180314609
