Reading problem outline... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
With scale 15
Unpickling rounded matrices
Reading problem file... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
Testing of rounded starts...
140000 / 505163 rounded to 0.023424562281617923  
140001 / 505163 rounded to 0.02636138081749118 	 min so far 0.023424562281617923
140002 / 505163 rounded to 0.02474534263362728 	 min so far 0.023424562281617923
140003 / 505163 rounded to 0.028541251466857823 	 min so far 0.023424562281617923
140004 / 505163 rounded to 0.022598492056615013 	 min so far 0.023424562281617923
140005 / 505163 rounded to 0.023404116171325005 	 min so far 0.022598492056615013
140006 / 505163 rounded to 0.028478049949891948 	 min so far 0.022598492056615013
140007 / 505163 rounded to 0.02493821436263947 	 min so far 0.022598492056615013
140008 / 505163 rounded to 0.02228279478713012 	 min so far 0.022598492056615013
140009 / 505163 rounded to 0.021999648432086422 	 min so far 0.02228279478713012
140010 / 505163 rounded to 0.023376925895077984 	 min so far 0.021999648432086422
140011 / 505163 rounded to 0.02391398561436631 	 min so far 0.021999648432086422
140012 / 505163 rounded to 0.02329528685983778 	 min so far 0.021999648432086422
140013 / 505163 rounded to 0.0218986485458409 	 min so far 0.021999648432086422
140014 / 505163 rounded to 0.022238887055821496 	 min so far 0.0218986485458409
140015 / 505163 rounded to 0.022663883699234718 	 min so far 0.0218986485458409
140016 / 505163 rounded to 0.023074392293842665 	 min so far 0.0218986485458409
140017 / 505163 rounded to 0.025330402340536833 	 min so far 0.0218986485458409
140018 / 505163 rounded to 0.023083680102118403 	 min so far 0.0218986485458409
140019 / 505163 rounded to 0.02685161421063863 	 min so far 0.0218986485458409
140020 / 505163 rounded to 0.022102177349054175 	 min so far 0.0218986485458409
140021 / 505163 rounded to 0.02411251318005057 	 min so far 0.0218986485458409
140022 / 505163 rounded to 0.023720271019330965 	 min so far 0.0218986485458409
140023 / 505163 rounded to 0.022663093386398877 	 min so far 0.0218986485458409
140024 / 505163 rounded to 0.022616996255163332 	 min so far 0.0218986485458409
140025 / 505163 rounded to 0.02402601366095814 	 min so far 0.0218986485458409
140026 / 505163 rounded to 0.022307874548262937 	 min so far 0.0218986485458409
140027 / 505163 rounded to 0.02194446589629081 	 min so far 0.0218986485458409
140028 / 505163 rounded to 0.021966263953784825 	 min so far 0.0218986485458409
140029 / 505163 rounded to 0.022999833463345786 	 min so far 0.0218986485458409
140030 / 505163 rounded to 0.02379214980175039 	 min so far 0.0218986485458409
140031 / 505163 rounded to 0.022930956496531475 	 min so far 0.0218986485458409
140032 / 505163 rounded to 0.02531691473518298 	 min so far 0.0218986485458409
140033 / 505163 rounded to 0.024281417540333177 	 min so far 0.0218986485458409
140034 / 505163 rounded to 0.022421912171974777 	 min so far 0.0218986485458409
140035 / 505163 rounded to 0.025115439309896702 	 min so far 0.0218986485458409
140036 / 505163 rounded to 0.024282298479277598 	 min so far 0.0218986485458409
140037 / 505163 rounded to 0.022759281034828247 	 min so far 0.0218986485458409
140038 / 505163 rounded to 0.023723657058581846 	 min so far 0.0218986485458409
140039 / 505163 rounded to 0.021885172813513102 	 min so far 0.0218986485458409
140040 / 505163 rounded to 0.023094004109887725 	 min so far 0.021885172813513102
140041 / 505163 rounded to 0.022262992753713018 	 min so far 0.021885172813513102
140042 / 505163 rounded to 0.023732399952265056 	 min so far 0.021885172813513102
140043 / 505163 rounded to 0.023223213946311567 	 min so far 0.021885172813513102
140044 / 505163 rounded to 0.0219778239057788 	 min so far 0.021885172813513102
140045 / 505163 rounded to 0.021938461464635864 	 min so far 0.021885172813513102
140046 / 505163 rounded to 0.02208537474123355 	 min so far 0.021885172813513102
140047 / 505163 rounded to 0.0222202890887483 	 min so far 0.021885172813513102
140048 / 505163 rounded to 0.022326284153186514 	 min so far 0.021885172813513102
140049 / 505163 rounded to 0.024775099160227545 	 min so far 0.021885172813513102
140050 / 505163 rounded to 0.02261808068589966 	 min so far 0.021885172813513102
140051 / 505163 rounded to 0.02423528456826175 	 min so far 0.021885172813513102
140052 / 505163 rounded to 0.023589684729290114 	 min so far 0.021885172813513102
140053 / 505163 rounded to 0.02649386815497808 	 min so far 0.021885172813513102
140054 / 505163 rounded to 0.02200957174836822 	 min so far 0.021885172813513102
140055 / 505163 rounded to 0.022308642383914536 	 min so far 0.021885172813513102
140056 / 505163 rounded to 0.021908885547547434 	 min so far 0.021885172813513102
140057 / 505163 rounded to 0.022040173521246466 	 min so far 0.021885172813513102
140058 / 505163 rounded to 0.02368191156647004 	 min so far 0.021885172813513102
140059 / 505163 rounded to 0.02200476143176866 	 min so far 0.021885172813513102
140060 / 505163 rounded to 0.02195503398845209 	 min so far 0.021885172813513102
140061 / 505163 rounded to 0.023747157820971903 	 min so far 0.021885172813513102
140062 / 505163 rounded to 0.02539343635347319 	 min so far 0.021885172813513102
140063 / 505163 rounded to 0.029009359164695013 	 min so far 0.021885172813513102
