Reading problem outline... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
With scale 15
Unpickling rounded matrices
Reading problem file... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
Testing of rounded starts...
60000 / 505163 rounded to 0.023233355869650692  
60001 / 505163 rounded to 0.022424692118428666 	 min so far 0.023233355869650692
60002 / 505163 rounded to 0.023545460731101014 	 min so far 0.022424692118428666
60003 / 505163 rounded to 0.022586816003066328 	 min so far 0.022424692118428666
60004 / 505163 rounded to 0.023499352424000065 	 min so far 0.022424692118428666
60005 / 505163 rounded to 0.03327865317755369 	 min so far 0.022424692118428666
60006 / 505163 rounded to 0.02625218523658934 	 min so far 0.022424692118428666
60007 / 505163 rounded to 0.02600497737136742 	 min so far 0.022424692118428666
60008 / 505163 rounded to 0.024733302989883358 	 min so far 0.022424692118428666
60009 / 505163 rounded to 0.026097715554458802 	 min so far 0.022424692118428666
60010 / 505163 rounded to 0.02637656900084708 	 min so far 0.022424692118428666
60011 / 505163 rounded to 0.024551427878939682 	 min so far 0.022424692118428666
60012 / 505163 rounded to 0.023026590544429786 	 min so far 0.022424692118428666
60013 / 505163 rounded to 0.022008784057594006 	 min so far 0.022424692118428666
60014 / 505163 rounded to 0.023703815221037202 	 min so far 0.022008784057594006
60015 / 505163 rounded to 0.02224022941732879 	 min so far 0.022008784057594006
60016 / 505163 rounded to 0.023669153151320146 	 min so far 0.022008784057594006
60017 / 505163 rounded to 0.023839236483994927 	 min so far 0.022008784057594006
60018 / 505163 rounded to 0.022915322304081272 	 min so far 0.022008784057594006
60019 / 505163 rounded to 0.02258498432679331 	 min so far 0.022008784057594006
60020 / 505163 rounded to 0.023732908095241315 	 min so far 0.022008784057594006
60021 / 505163 rounded to 0.022447044364461797 	 min so far 0.022008784057594006
60022 / 505163 rounded to 0.021910419739946844 	 min so far 0.022008784057594006
60023 / 505163 rounded to 0.023385823167031704 	 min so far 0.021910419739946844
60024 / 505163 rounded to 0.023784102029216447 	 min so far 0.021910419739946844
60025 / 505163 rounded to 0.02297285941789157 	 min so far 0.021910419739946844
60026 / 505163 rounded to 0.02329719574234804 	 min so far 0.021910419739946844
60027 / 505163 rounded to 0.022001504882817213 	 min so far 0.021910419739946844
60028 / 505163 rounded to 0.02190719954333009 	 min so far 0.021910419739946844
60029 / 505163 rounded to 0.021889284302946677 	 min so far 0.02190719954333009
60030 / 505163 rounded to 0.022067309556969433 	 min so far 0.021889284302946677
60031 / 505163 rounded to 0.02292419270130975 	 min so far 0.021889284302946677
60032 / 505163 rounded to 0.02245815980210658 	 min so far 0.021889284302946677
60033 / 505163 rounded to 0.02189793325523337 	 min so far 0.021889284302946677
60034 / 505163 rounded to 0.022146869227978472 	 min so far 0.021889284302946677
60035 / 505163 rounded to 0.0240867961250236 	 min so far 0.021889284302946677
60036 / 505163 rounded to 0.0235293977605534 	 min so far 0.021889284302946677
60037 / 505163 rounded to 0.023905170122997598 	 min so far 0.021889284302946677
60038 / 505163 rounded to 0.022118753222038 	 min so far 0.021889284302946677
60039 / 505163 rounded to 0.023638879050288848 	 min so far 0.021889284302946677
60040 / 505163 rounded to 0.021943809771239883 	 min so far 0.021889284302946677
60041 / 505163 rounded to 0.026101165176379244 	 min so far 0.021889284302946677
60042 / 505163 rounded to 0.02465910450608088 	 min so far 0.021889284302946677
60043 / 505163 rounded to 0.02209316984158625 	 min so far 0.021889284302946677
60044 / 505163 rounded to 0.022822845326488088 	 min so far 0.021889284302946677
60045 / 505163 rounded to 0.02261091806963418 	 min so far 0.021889284302946677
60046 / 505163 rounded to 0.021944557359849737 	 min so far 0.021889284302946677
60047 / 505163 rounded to 0.023577607889772152 	 min so far 0.021889284302946677
60048 / 505163 rounded to 0.02200820299038121 	 min so far 0.021889284302946677
60049 / 505163 rounded to 0.02192780636550552 	 min so far 0.021889284302946677
60050 / 505163 rounded to 0.02193952644890643 	 min so far 0.021889284302946677
60051 / 505163 rounded to 0.022208881108166118 	 min so far 0.021889284302946677
60052 / 505163 rounded to 0.02193126142427865 	 min so far 0.021889284302946677
60053 / 505163 rounded to 0.022704627293298866 	 min so far 0.021889284302946677
60054 / 505163 rounded to 0.02196448252842469 	 min so far 0.021889284302946677
60055 / 505163 rounded to 0.023265403846078787 	 min so far 0.021889284302946677
60056 / 505163 rounded to 0.023176955497449116 	 min so far 0.021889284302946677
60057 / 505163 rounded to 0.021885776256146103 	 min so far 0.021889284302946677
60058 / 505163 rounded to 0.022464691431146426 	 min so far 0.021885776256146103
60059 / 505163 rounded to 0.024111146674402582 	 min so far 0.021885776256146103
60060 / 505163 rounded to 0.021874154606050678 	 min so far 0.021885776256146103
60061 / 505163 rounded to 0.023338105309518346 	 min so far 0.021874154606050678
60062 / 505163 rounded to 0.022808687822969888 	 min so far 0.021874154606050678
60063 / 505163 rounded to 0.02276683117998937 	 min so far 0.021874154606050678
60064 / 505163 rounded to 0.0218733928055608 	 min so far 0.021874154606050678
60065 / 505163 rounded to 0.02305925527842011 	 min so far 0.0218733928055608
60066 / 505163 rounded to 0.02188958231861427 	 min so far 0.0218733928055608
60067 / 505163 rounded to 0.021897718398508636 	 min so far 0.0218733928055608
60068 / 505163 rounded to 0.02193644567534499 	 min so far 0.0218733928055608
60069 / 505163 rounded to 0.021895239604875567 	 min so far 0.0218733928055608
60070 / 505163 rounded to 0.021995724584020177 	 min so far 0.0218733928055608
60071 / 505163 rounded to 0.024353192397597898 	 min so far 0.0218733928055608
60072 / 505163 rounded to 0.021918609350166308 	 min so far 0.0218733928055608
60073 / 505163 rounded to 0.02204274035129529 	 min so far 0.0218733928055608
60074 / 505163 rounded to 0.022834461012665137 	 min so far 0.0218733928055608
60075 / 505163 rounded to 0.021918728142197048 	 min so far 0.0218733928055608
60076 / 505163 rounded to 0.02207371000978363 	 min so far 0.0218733928055608
60077 / 505163 rounded to 0.022513690910480735 	 min so far 0.0218733928055608
60078 / 505163 rounded to 0.021909432590419078 	 min so far 0.0218733928055608
60079 / 505163 rounded to 0.022634586860597338 	 min so far 0.0218733928055608
60080 / 505163 rounded to 0.023285223838134007 	 min so far 0.0218733928055608
60081 / 505163 rounded to 0.021936623845505536 	 min so far 0.0218733928055608
60082 / 505163 rounded to 0.022005916221979994 	 min so far 0.0218733928055608
60083 / 505163 rounded to 0.021952508616614616 	 min so far 0.0218733928055608
60084 / 505163 rounded to 0.02187928698455206 	 min so far 0.0218733928055608
60085 / 505163 rounded to 0.02189038487714245 	 min so far 0.0218733928055608
60086 / 505163 rounded to 0.022802774919040796 	 min so far 0.0218733928055608
60087 / 505163 rounded to 0.022560029885150174 	 min so far 0.0218733928055608
60088 / 505163 rounded to 0.021986596295123905 	 min so far 0.0218733928055608
60089 / 505163 rounded to 0.0222340118007273 	 min so far 0.0218733928055608
60090 / 505163 rounded to 0.021958055605159146 	 min so far 0.0218733928055608
60091 / 505163 rounded to 0.023502347715246563 	 min so far 0.0218733928055608
60092 / 505163 rounded to 0.021934180058803036 	 min so far 0.0218733928055608
60093 / 505163 rounded to 0.021893283620957483 	 min so far 0.0218733928055608
60094 / 505163 rounded to 0.021920151060704777 	 min so far 0.0218733928055608
60095 / 505163 rounded to 0.023940907265790276 	 min so far 0.0218733928055608
60096 / 505163 rounded to 0.0218767528930951 	 min so far 0.0218733928055608
60097 / 505163 rounded to 0.021929050417087717 	 min so far 0.0218733928055608
60098 / 505163 rounded to 0.021954605817789703 	 min so far 0.0218733928055608
60099 / 505163 rounded to 0.022607329140157898 	 min so far 0.0218733928055608
60100 / 505163 rounded to 0.02295864819129286 	 min so far 0.0218733928055608
60101 / 505163 rounded to 0.02188321584939804 	 min so far 0.0218733928055608
60102 / 505163 rounded to 0.022580001455641867 	 min so far 0.0218733928055608
60103 / 505163 rounded to 0.022222663968757862 	 min so far 0.0218733928055608
60104 / 505163 rounded to 0.022352845236499348 	 min so far 0.0218733928055608
60105 / 505163 rounded to 0.023688168426037323 	 min so far 0.0218733928055608
60106 / 505163 rounded to 0.02357587766513382 	 min so far 0.0218733928055608
60107 / 505163 rounded to 0.022826878508470944 	 min so far 0.0218733928055608
60108 / 505163 rounded to 0.02197945714651013 	 min so far 0.0218733928055608
60109 / 505163 rounded to 0.02266592288938285 	 min so far 0.0218733928055608
