Reading problem outline... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
With scale 15
Unpickling rounded matrices
Reading problem file... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
Testing of rounded starts...
0 / 505163 rounded to 0.5504651511078694  
1 / 505163 rounded to 0.39602348034450324 	 min so far 0.5504651511078694
2 / 505163 rounded to 0.8511512394109625 	 min so far 0.39602348034450324
3 / 505163 rounded to 0.8369553081504132 	 min so far 0.39602348034450324
4 / 505163 rounded to 0.41093797851185926 	 min so far 0.39602348034450324
5 / 505163 rounded to 0.7169109081055021 	 min so far 0.39602348034450324
6 / 505163 rounded to 0.5278213799155406 	 min so far 0.39602348034450324
7 / 505163 rounded to 0.667662141638347 	 min so far 0.39602348034450324
8 / 505163 rounded to 0.37421308335257686 	 min so far 0.39602348034450324
9 / 505163 rounded to 0.7726278930091187 	 min so far 0.37421308335257686
10 / 505163 rounded to 0.7680024460267479 	 min so far 0.37421308335257686
11 / 505163 rounded to 0.5760200908828444 	 min so far 0.37421308335257686
12 / 505163 rounded to 0.6837219378646897 	 min so far 0.37421308335257686
13 / 505163 rounded to 0.1380850497331804 	 min so far 0.37421308335257686
14 / 505163 rounded to 0.14747332305766095 	 min so far 0.1380850497331804
15 / 505163 rounded to 0.8000397628001916 	 min so far 0.1380850497331804
16 / 505163 rounded to 0.5878277267475769 	 min so far 0.1380850497331804
17 / 505163 rounded to 0.6540066429928415 	 min so far 0.1380850497331804
18 / 505163 rounded to 0.6471656045575606 	 min so far 0.1380850497331804
19 / 505163 rounded to 0.6198962727488505 	 min so far 0.1380850497331804
20 / 505163 rounded to 0.5398560619304188 	 min so far 0.1380850497331804
21 / 505163 rounded to 0.6133736593594689 	 min so far 0.1380850497331804
22 / 505163 rounded to 0.12834610494435666 	 min so far 0.1380850497331804
23 / 505163 rounded to 0.5028694882127674 	 min so far 0.12834610494435666
24 / 505163 rounded to 0.5900833792394563 	 min so far 0.12834610494435666
25 / 505163 rounded to 0.2299098558729518 	 min so far 0.12834610494435666
26 / 505163 rounded to 0.4077517216609151 	 min so far 0.12834610494435666
27 / 505163 rounded to 0.2655012951142385 	 min so far 0.12834610494435666
28 / 505163 rounded to 0.6503999508847207 	 min so far 0.12834610494435666
29 / 505163 rounded to 0.7539436039689618 	 min so far 0.12834610494435666
30 / 505163 rounded to 0.4921886689869375 	 min so far 0.12834610494435666
31 / 505163 rounded to 0.44640576122938275 	 min so far 0.12834610494435666
32 / 505163 rounded to 0.8967384138913556 	 min so far 0.12834610494435666
33 / 505163 rounded to 1.1263758476712198 	 min so far 0.12834610494435666
34 / 505163 rounded to 1.1168663483698282 	 min so far 0.12834610494435666
35 / 505163 rounded to 1.0024395977550855 	 min so far 0.12834610494435666
36 / 505163 rounded to 1.1164246394011712 	 min so far 0.12834610494435666
37 / 505163 rounded to 1.104408336670588 	 min so far 0.12834610494435666
38 / 505163 rounded to 1.019166812012981 	 min so far 0.12834610494435666
39 / 505163 rounded to 1.138484271026784 	 min so far 0.12834610494435666
40 / 505163 rounded to 1.0077661927546662 	 min so far 0.12834610494435666
41 / 505163 rounded to 0.6563509376513537 	 min so far 0.12834610494435666
42 / 505163 rounded to 0.8844689174007873 	 min so far 0.12834610494435666
43 / 505163 rounded to 1.1798179853807815 	 min so far 0.12834610494435666
44 / 505163 rounded to 0.930205460892879 	 min so far 0.12834610494435666
45 / 505163 rounded to 0.9288881048019489 	 min so far 0.12834610494435666
46 / 505163 rounded to 0.2616312136863435 	 min so far 0.12834610494435666
47 / 505163 rounded to 0.8475306549685011 	 min so far 0.12834610494435666
48 / 505163 rounded to 0.9069959458117688 	 min so far 0.12834610494435666
49 / 505163 rounded to 1.0144700616231155 	 min so far 0.12834610494435666
50 / 505163 rounded to 0.9181583135750038 	 min so far 0.12834610494435666
51 / 505163 rounded to 1.0414680064329467 	 min so far 0.12834610494435666
52 / 505163 rounded to 0.907024796949726 	 min so far 0.12834610494435666
53 / 505163 rounded to 0.6670466790617697 	 min so far 0.12834610494435666
54 / 505163 rounded to 0.9075123157026007 	 min so far 0.12834610494435666
55 / 505163 rounded to 1.0800333198537133 	 min so far 0.12834610494435666
56 / 505163 rounded to 0.9555208324987114 	 min so far 0.12834610494435666
57 / 505163 rounded to 0.9659750295048807 	 min so far 0.12834610494435666
58 / 505163 rounded to 0.5630587153894989 	 min so far 0.12834610494435666
59 / 505163 rounded to 0.5892585860731736 	 min so far 0.12834610494435666
60 / 505163 rounded to 0.7520570050359334 	 min so far 0.12834610494435666
61 / 505163 rounded to 0.7368914793821381 	 min so far 0.12834610494435666
62 / 505163 rounded to 0.6527367132568496 	 min so far 0.12834610494435666
63 / 505163 rounded to 0.4955000466832026 	 min so far 0.12834610494435666
64 / 505163 rounded to 0.6237368755498948 	 min so far 0.12834610494435666
65 / 505163 rounded to 0.4501746939717136 	 min so far 0.12834610494435666
66 / 505163 rounded to 0.6116304965749139 	 min so far 0.12834610494435666
67 / 505163 rounded to 0.5412731858241859 	 min so far 0.12834610494435666
68 / 505163 rounded to 0.8234103009621486 	 min so far 0.12834610494435666
69 / 505163 rounded to 0.6622480041983108 	 min so far 0.12834610494435666
70 / 505163 rounded to 0.7092452500288766 	 min so far 0.12834610494435666
71 / 505163 rounded to 0.7166013811265874 	 min so far 0.12834610494435666
72 / 505163 rounded to 0.731429368405328 	 min so far 0.12834610494435666
73 / 505163 rounded to 0.6693633170487188 	 min so far 0.12834610494435666
74 / 505163 rounded to 0.7308565059421774 	 min so far 0.12834610494435666
75 / 505163 rounded to 0.5853351374918093 	 min so far 0.12834610494435666
76 / 505163 rounded to 0.7484258984845147 	 min so far 0.12834610494435666
77 / 505163 rounded to 0.5884948464477293 	 min so far 0.12834610494435666
