Reading problem outline... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
With scale 15
Unpickling rounded matrices
Reading problem file... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
Testing of rounded starts...
40084 / 505163 rounded to 0.027095367020212553 	 min so far 0.021964837599096943
40085 / 505163 rounded to 0.0273500085894095 	 min so far 0.021964837599096943
40086 / 505163 rounded to 0.027300928244832583 	 min so far 0.021964837599096943
40087 / 505163 rounded to 0.02450791126221924 	 min so far 0.021964837599096943
40088 / 505163 rounded to 0.027063703055457154 	 min so far 0.021964837599096943
40089 / 505163 rounded to 0.02913318845551827 	 min so far 0.021964837599096943
40090 / 505163 rounded to 0.029643471345601843 	 min so far 0.021964837599096943
40091 / 505163 rounded to 0.02792012433024346 	 min so far 0.021964837599096943
40092 / 505163 rounded to 0.0235545945013929 	 min so far 0.021964837599096943
40093 / 505163 rounded to 0.025713206971821244 	 min so far 0.021964837599096943
40094 / 505163 rounded to 0.026682708022058233 	 min so far 0.021964837599096943
40095 / 505163 rounded to 0.025461827809040303 	 min so far 0.021964837599096943
40096 / 505163 rounded to 0.025844319510606086 	 min so far 0.021964837599096943
40097 / 505163 rounded to 0.024706215867171432 	 min so far 0.021964837599096943
40098 / 505163 rounded to 0.025500063848068185 	 min so far 0.021964837599096943
40099 / 505163 rounded to 0.02360243123433836 	 min so far 0.021964837599096943
40100 / 505163 rounded to 0.02465093795529542 	 min so far 0.021964837599096943
40101 / 505163 rounded to 0.024169899298531337 	 min so far 0.021964837599096943
40102 / 505163 rounded to 0.02485731015596244 	 min so far 0.021964837599096943
40103 / 505163 rounded to 0.026694069541105512 	 min so far 0.021964837599096943
40104 / 505163 rounded to 0.026438234805692643 	 min so far 0.021964837599096943
40105 / 505163 rounded to 0.025247959031904972 	 min so far 0.021964837599096943
40106 / 505163 rounded to 0.021979672948172244 	 min so far 0.021964837599096943
40107 / 505163 rounded to 0.022222481738587655 	 min so far 0.021964837599096943
40108 / 505163 rounded to 0.02417500749806823 	 min so far 0.021964837599096943
40109 / 505163 rounded to 0.026867365715111165 	 min so far 0.021964837599096943
40110 / 505163 rounded to 0.02425451254495464 	 min so far 0.021964837599096943
40111 / 505163 rounded to 0.02504925038060501 	 min so far 0.021964837599096943
40112 / 505163 rounded to 0.022648929019993533 	 min so far 0.021964837599096943
40113 / 505163 rounded to 0.026233217063023465 	 min so far 0.021964837599096943
40114 / 505163 rounded to 0.024647475520971514 	 min so far 0.021964837599096943
40115 / 505163 rounded to 0.024179464480682412 	 min so far 0.021964837599096943
40116 / 505163 rounded to 0.024922080346911124 	 min so far 0.021964837599096943
40117 / 505163 rounded to 0.0222620428083556 	 min so far 0.021964837599096943
40118 / 505163 rounded to 0.024071293461281437 	 min so far 0.021964837599096943
40119 / 505163 rounded to 0.03144090651546196 	 min so far 0.021964837599096943
40120 / 505163 rounded to 0.024379541505048112 	 min so far 0.021964837599096943
40121 / 505163 rounded to 0.028047884242042978 	 min so far 0.021964837599096943
40122 / 505163 rounded to 0.026657707973384962 	 min so far 0.021964837599096943
40123 / 505163 rounded to 0.022847420820236594 	 min so far 0.021964837599096943
40124 / 505163 rounded to 0.025035263027758162 	 min so far 0.021964837599096943
40125 / 505163 rounded to 0.023304393819804762 	 min so far 0.021964837599096943
40126 / 505163 rounded to 0.022691737295473188 	 min so far 0.021964837599096943
40127 / 505163 rounded to 0.025684851126600388 	 min so far 0.021964837599096943
40128 / 505163 rounded to 0.024311788896760934 	 min so far 0.021964837599096943
40129 / 505163 rounded to 0.022321311072619223 	 min so far 0.021964837599096943
40130 / 505163 rounded to 0.024801619968793858 	 min so far 0.021964837599096943
40131 / 505163 rounded to 0.023266470298381192 	 min so far 0.021964837599096943
40132 / 505163 rounded to 0.022128822709759875 	 min so far 0.021964837599096943
40133 / 505163 rounded to 0.024202589240992067 	 min so far 0.021964837599096943
40134 / 505163 rounded to 0.021930232325476216 	 min so far 0.021964837599096943
40135 / 505163 rounded to 0.022507879238513325 	 min so far 0.021930232325476216
40136 / 505163 rounded to 0.024622916156732635 	 min so far 0.021930232325476216
40137 / 505163 rounded to 0.025674117169747244 	 min so far 0.021930232325476216
40138 / 505163 rounded to 0.022156567518357744 	 min so far 0.021930232325476216
40139 / 505163 rounded to 0.024850720764525394 	 min so far 0.021930232325476216
40140 / 505163 rounded to 0.02410680729613254 	 min so far 0.021930232325476216
40141 / 505163 rounded to 0.02501502615839777 	 min so far 0.021930232325476216
40142 / 505163 rounded to 0.027375540373256728 	 min so far 0.021930232325476216
40143 / 505163 rounded to 0.022548112781469554 	 min so far 0.021930232325476216
40144 / 505163 rounded to 0.022291770901578602 	 min so far 0.021930232325476216
40145 / 505163 rounded to 0.024058176012858177 	 min so far 0.021930232325476216
40146 / 505163 rounded to 0.024869592375091197 	 min so far 0.021930232325476216
40147 / 505163 rounded to 0.022973410441440648 	 min so far 0.021930232325476216
40148 / 505163 rounded to 0.0238282853480636 	 min so far 0.021930232325476216
40149 / 505163 rounded to 0.022662077003898527 	 min so far 0.021930232325476216
40150 / 505163 rounded to 0.02283155219455256 	 min so far 0.021930232325476216
40151 / 505163 rounded to 0.023880206072755424 	 min so far 0.021930232325476216
40152 / 505163 rounded to 0.022245163695317198 	 min so far 0.021930232325476216
40153 / 505163 rounded to 0.021906300589080198 	 min so far 0.021930232325476216
40154 / 505163 rounded to 0.024956588590929744 	 min so far 0.021906300589080198
40155 / 505163 rounded to 0.025537092685796146 	 min so far 0.021906300589080198
40156 / 505163 rounded to 0.02223906760204106 	 min so far 0.021906300589080198
40157 / 505163 rounded to 0.02432280947736368 	 min so far 0.021906300589080198
40158 / 505163 rounded to 0.02464012863920693 	 min so far 0.021906300589080198
40159 / 505163 rounded to 0.026470195016478668 	 min so far 0.021906300589080198
40160 / 505163 rounded to 0.025671343519372277 	 min so far 0.021906300589080198
40161 / 505163 rounded to 0.0233413861838908 	 min so far 0.021906300589080198
40162 / 505163 rounded to 0.022253988961078806 	 min so far 0.021906300589080198
40163 / 505163 rounded to 0.03024516016886715 	 min so far 0.021906300589080198
40164 / 505163 rounded to 0.02669903190273953 	 min so far 0.021906300589080198
40165 / 505163 rounded to 0.024928981814252855 	 min so far 0.021906300589080198
40166 / 505163 rounded to 0.022056579567303804 	 min so far 0.021906300589080198
40167 / 505163 rounded to 0.028056569796135657 	 min so far 0.021906300589080198
40168 / 505163 rounded to 0.025763443266970085 	 min so far 0.021906300589080198
40169 / 505163 rounded to 0.02267892543185961 	 min so far 0.021906300589080198
