Reading problem outline... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
With scale 15
Unpickling rounded matrices
Reading problem file... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
Testing of rounded starts...
100000 / 505163 rounded to 0.0219958578500656  
100001 / 505163 rounded to 0.0221157585644382 	 min so far 0.0219958578500656
100002 / 505163 rounded to 0.022046823594413723 	 min so far 0.0219958578500656
100003 / 505163 rounded to 0.023062594060417344 	 min so far 0.0219958578500656
100004 / 505163 rounded to 0.02191337455503513 	 min so far 0.0219958578500656
100005 / 505163 rounded to 0.022438214386419734 	 min so far 0.02191337455503513
100006 / 505163 rounded to 0.02194910354681544 	 min so far 0.02191337455503513
100007 / 505163 rounded to 0.023102511350778905 	 min so far 0.02191337455503513
100008 / 505163 rounded to 0.021889598335010398 	 min so far 0.02191337455503513
100009 / 505163 rounded to 0.021942352395062672 	 min so far 0.021889598335010398
100010 / 505163 rounded to 0.02299622538134821 	 min so far 0.021889598335010398
100011 / 505163 rounded to 0.021908716720258056 	 min so far 0.021889598335010398
100012 / 505163 rounded to 0.023293496701120898 	 min so far 0.021889598335010398
100013 / 505163 rounded to 0.021949009925281628 	 min so far 0.021889598335010398
100014 / 505163 rounded to 0.021923185308856993 	 min so far 0.021889598335010398
100015 / 505163 rounded to 0.021882953866262652 	 min so far 0.021889598335010398
100016 / 505163 rounded to 0.02222372131748831 	 min so far 0.021882953866262652
100017 / 505163 rounded to 0.02189554573046183 	 min so far 0.021882953866262652
100018 / 505163 rounded to 0.021904047374658932 	 min so far 0.021882953866262652
100019 / 505163 rounded to 0.021891032023779188 	 min so far 0.021882953866262652
100020 / 505163 rounded to 0.021892501342791467 	 min so far 0.021882953866262652
100021 / 505163 rounded to 0.021903227173885587 	 min so far 0.021882953866262652
100022 / 505163 rounded to 0.021893383485729823 	 min so far 0.021882953866262652
100023 / 505163 rounded to 0.02405564726649119 	 min so far 0.021882953866262652
100024 / 505163 rounded to 0.021922203161527824 	 min so far 0.021882953866262652
100025 / 505163 rounded to 0.021894060128544845 	 min so far 0.021882953866262652
100026 / 505163 rounded to 0.021888156205198652 	 min so far 0.021882953866262652
100027 / 505163 rounded to 0.023545084460180603 	 min so far 0.021882953866262652
100028 / 505163 rounded to 0.024681019049260903 	 min so far 0.021882953866262652
100029 / 505163 rounded to 0.027670471079910632 	 min so far 0.021882953866262652
100030 / 505163 rounded to 0.028951839033866757 	 min so far 0.021882953866262652
100031 / 505163 rounded to 0.02245254377582381 	 min so far 0.021882953866262652
100032 / 505163 rounded to 0.022032565136060778 	 min so far 0.021882953866262652
100033 / 505163 rounded to 0.025523943220646793 	 min so far 0.021882953866262652
100034 / 505163 rounded to 0.02218160365633295 	 min so far 0.021882953866262652
100035 / 505163 rounded to 0.021887058814769815 	 min so far 0.021882953866262652
100036 / 505163 rounded to 0.02192378531070978 	 min so far 0.021882953866262652
100037 / 505163 rounded to 0.021924495137231888 	 min so far 0.021882953866262652
100038 / 505163 rounded to 0.021883772355960958 	 min so far 0.021882953866262652
100039 / 505163 rounded to 0.021909388412074047 	 min so far 0.021882953866262652
100040 / 505163 rounded to 0.021979220701138225 	 min so far 0.021882953866262652
100041 / 505163 rounded to 0.022647968284665733 	 min so far 0.021882953866262652
100042 / 505163 rounded to 0.021886050383012355 	 min so far 0.021882953866262652
100043 / 505163 rounded to 0.02203566168707007 	 min so far 0.021882953866262652
100044 / 505163 rounded to 0.022347609194772706 	 min so far 0.021882953866262652
